States,States Code,Age Groups,Age Groups Code,Cancer Sites,Cancer Sites Code,Race,Race Code,Count,Population,Crude Rate
Indiana,18,35-39 years,35-39,Lung and Bronchus,22030,White,2106-3,28,404648,6.9
Indiana,18,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,94,438173,21.5
Indiana,18,45-49 years,45-49,Larynx,22020,White,2106-3,20,415877,4.8
Indiana,18,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,149,415877,35.8
Indiana,18,50-54 years,50-54,Larynx,22020,White,2106-3,25,367708,6.8
Indiana,18,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,22,29789,73.9
Indiana,18,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,221,367708,60.1
Indiana,18,55-59 years,55-59,Larynx,22020,White,2106-3,30,299257,10
Indiana,18,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,45,20682,217.6
Indiana,18,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,418,299257,139.7
Indiana,18,60-64 years ,60-64,Larynx,22020,White,2106-3,41,231709,17.7
Indiana,18,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,49,16459,297.7
Indiana,18,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,517,231709,223.1
Indiana,18,65-69 years,65-69,Larynx,22020,White,2106-3,35,188518,18.6
Indiana,18,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,52,13734,378.6
Indiana,18,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,702,188518,372.4
Indiana,18,70-74 years,70-74,Larynx,22020,White,2106-3,33,173985,19
Indiana,18,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,62,11437,542.1
Indiana,18,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,860,173985,494.3
Indiana,18,75-79 years,75-79,Larynx,22020,White,2106-3,28,150933,18.6
Indiana,18,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,61,8945,681.9
Indiana,18,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,803,150933,532
Indiana,18,80-84 years,80-84,Larynx,22020,White,2106-3,20,106667,18.7
Indiana,18,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,28,5495,509.6
Indiana,18,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,498,106667,466.9
Indiana,18,85+ years,85+,Lung and Bronchus,22030,Black or African American,2054-5,20,4500,444.4
Indiana,18,85+ years,85+,Lung and Bronchus,22030,White,2106-3,293,89413,327.7
Iowa,19,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,29,218480,13.3
Iowa,19,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,56,212166,26.4
Iowa,19,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,116,188881,61.4
Iowa,19,55-59 years,55-59,Larynx,22020,White,2106-3,19,149011,12.8
Iowa,19,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,199,149011,133.5
Iowa,19,60-64 years ,60-64,Larynx,22020,White,2106-3,23,119816,19.2
Iowa,19,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,241,119816,201.1
Iowa,19,65-69 years,65-69,Larynx,22020,White,2106-3,21,104653,20.1
Iowa,19,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,335,104653,320.1
Iowa,19,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,382,99093,385.5
Iowa,19,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,371,89624,414
Iowa,19,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,258,69321,372.2
Iowa,19,85+ years,85+,Lung and Bronchus,22030,White,2106-3,190,65862,288.5
Kansas,20,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,23,192843,11.9
Kansas,20,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,53,186643,28.4
Kansas,20,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,82,160533,51.1
Kansas,20,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,140,126649,110.5
Kansas,20,60-64 years ,60-64,Larynx,22020,White,2106-3,19,96719,19.6
Kansas,20,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,196,96719,202.6
Kansas,20,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,252,83418,302.1
Kansas,20,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,308,79079,389.5
Kansas,20,75-79 years,75-79,Larynx,22020,White,2106-3,16,70984,22.5
Kansas,20,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,285,70984,401.5
Kansas,20,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,189,54154,349
Kansas,20,85+ years,85+,Lung and Bronchus,22030,White,2106-3,89,50294,177
Kentucky,21,35-39 years,35-39,Lung and Bronchus,22030,White,2106-3,25,278707,9
Kentucky,21,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,67,294483,22.8
Kentucky,21,45-49 years,45-49,Larynx,22020,White,2106-3,17,282142,6
Kentucky,21,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,140,282142,49.6
Kentucky,21,50-54 years,50-54,Larynx,22020,White,2106-3,20,257244,7.8
Kentucky,21,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,21,17677,118.8
Kentucky,21,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,242,257244,94.1
Kentucky,21,55-59 years,55-59,Larynx,22020,White,2106-3,35,212257,16.5
Kentucky,21,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,21,11669,180
Kentucky,21,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,410,212257,193.2
Kentucky,21,60-64 years ,60-64,Larynx,22020,White,2106-3,49,169014,29
Kentucky,21,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,30,9309,322.3
Kentucky,21,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,619,169014,366.2
Kentucky,21,65-69 years,65-69,Larynx,22020,White,2106-3,38,137984,27.5
Kentucky,21,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,40,7749,516.2
Kentucky,21,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,672,137984,487
Kentucky,21,70-74 years,70-74,Larynx,22020,White,2106-3,23,120175,19.1
Kentucky,21,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,34,6552,518.9
Kentucky,21,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,706,120175,587.5
Kentucky,21,75-79 years,75-79,Larynx,22020,White,2106-3,17,99104,17.2
Kentucky,21,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,41,5205,787.7
Kentucky,21,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,574,99104,579.2
Kentucky,21,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,19,3457,549.6
Kentucky,21,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,359,67929,528.5
Kentucky,21,85+ years,85+,Lung and Bronchus,22030,White,2106-3,229,54993,416.4
Louisiana,22,40-44 years,40-44,Lung and Bronchus,22030,Black or African American,2054-5,20,107610,18.6
Louisiana,22,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,44,232709,18.9
Louisiana,22,45-49 years,45-49,Lung and Bronchus,22030,Black or African American,2054-5,58,101227,57.3
Louisiana,22,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,87,223422,38.9
Louisiana,22,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,94,84207,111.6
Louisiana,22,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,129,199920,64.5
Louisiana,22,55-59 years,55-59,Larynx,22020,Black or African American,2054-5,20,59228,33.8
Louisiana,22,55-59 years,55-59,Larynx,22020,White,2106-3,23,167123,13.8
Louisiana,22,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,113,59228,190.8
Louisiana,22,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,212,167123,126.9
Louisiana,22,60-64 years ,60-64,Larynx,22020,White,2106-3,28,131968,21.2
Louisiana,22,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,128,45534,281.1
Louisiana,22,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,319,131968,241.7
Louisiana,22,65-69 years,65-69,Larynx,22020,White,2106-3,22,109205,20.1
Louisiana,22,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,132,37424,352.7
Louisiana,22,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,385,109205,352.5
Louisiana,22,70-74 years,70-74,Larynx,22020,White,2106-3,32,100732,31.8
Louisiana,22,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,104,30514,340.8
Louisiana,22,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,440,100732,436.8
Louisiana,22,75-79 years,75-79,Larynx,22020,White,2106-3,16,84034,19
Louisiana,22,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,102,23561,432.9
Louisiana,22,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,397,84034,472.4
Louisiana,22,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,66,15402,428.5
Louisiana,22,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,274,57600,475.7
Louisiana,22,85+ years,85+,Lung and Bronchus,22030,Black or African American,2054-5,41,13381,306.4
Louisiana,22,85+ years,85+,Lung and Bronchus,22030,White,2106-3,134,44329,302.3
Maine,23,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,16,108039,14.8
Maine,23,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,43,105011,40.9
Maine,23,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,67,96003,69.8
Maine,23,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,113,77263,146.3
Maine,23,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,153,57726,265
Maine,23,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,163,49780,327.4
Maine,23,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,223,45690,488.1
Maine,23,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,203,38597,525.9
Maine,23,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,99,27209,363.9
Maine,23,85+ years,85+,Lung and Bronchus,22030,White,2106-3,82,24084,340.5
Maryland,24,35-39 years,35-39,Lung and Bronchus,22030,White,2106-3,16,285713,5.6
Maryland,24,40-44 years,40-44,Lung and Bronchus,22030,Black or African American,2054-5,31,136090,22.8
Maryland,24,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,42,306232,13.7
Maryland,24,45-49 years,45-49,Lung and Bronchus,22030,Black or African American,2054-5,51,115355,44.2
Maryland,24,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,91,286639,31.7
Maryland,24,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,94,100755,93.3
Maryland,24,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,153,257529,59.4
Maryland,24,55-59 years,55-59,Larynx,22020,White,2106-3,19,217657,8.7
Maryland,24,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,90,71504,125.9
Maryland,24,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,254,217657,116.7
Maryland,24,60-64 years ,60-64,Larynx,22020,White,2106-3,23,156302,14.7
Maryland,24,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,117,52627,222.3
Maryland,24,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,337,156302,215.6
Maryland,24,65-69 years,65-69,Larynx,22020,White,2106-3,26,124141,20.9
Maryland,24,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,108,40255,268.3
Maryland,24,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,380,124141,306.1
Maryland,24,70-74 years,70-74,Larynx,22020,White,2106-3,32,115927,27.6
Maryland,24,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,131,30857,424.5
Maryland,24,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,479,115927,413.2
Maryland,24,75-79 years,75-79,Larynx,22020,White,2106-3,21,103688,20.3
Maryland,24,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,95,22544,421.4
Maryland,24,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,464,103688,447.5
Maryland,24,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,48,14069,341.2
Maryland,24,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,353,74706,472.5
Maryland,24,85+ years,85+,Lung and Bronchus,22030,Black or African American,2054-5,23,10767,213.6
Maryland,24,85+ years,85+,Lung and Bronchus,22030,White,2106-3,170,59080,287.7
Massachusetts,25,35-39 years,35-39,Lung and Bronchus,22030,White,2106-3,33,453773,7.3
Massachusetts,25,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,71,473851,15
Massachusetts,25,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,139,437381,31.8
Massachusetts,25,50-54 years,50-54,Larynx,22020,White,2106-3,17,391013,4.3
Massachusetts,25,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,257,391013,65.7
Massachusetts,25,55-59 years,55-59,Larynx,22020,White,2106-3,37,323928,11.4
Massachusetts,25,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,23,16795,136.9
Massachusetts,25,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,386,323928,119.2
Massachusetts,25,60-64 years ,60-64,Larynx,22020,White,2106-3,40,231129,17.3
Massachusetts,25,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,18,12260,146.8
Massachusetts,25,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,538,231129,232.8
Massachusetts,25,65-69 years,65-69,Larynx,22020,White,2106-3,39,196396,19.9
Massachusetts,25,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,24,9595,250.1
Massachusetts,25,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,660,196396,336.1
Massachusetts,25,70-74 years,70-74,Larynx,22020,White,2106-3,36,190894,18.9
Massachusetts,25,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,26,7361,353.2
Massachusetts,25,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,886,190894,464.1
Massachusetts,25,75-79 years,75-79,Larynx,22020,White,2106-3,28,174770,16
Massachusetts,25,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,18,5635,319.4
Massachusetts,25,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,817,174770,467.5
Massachusetts,25,80-84 years,80-84,Larynx,22020,White,2106-3,18,131439,13.7
Massachusetts,25,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,566,131439,430.6
Massachusetts,25,85+ years,85+,Larynx,22020,White,2106-3,19,115385,16.5
Massachusetts,25,85+ years,85+,Lung and Bronchus,22030,White,2106-3,339,115385,293.8
Michigan,26,35-39 years,35-39,Lung and Bronchus,22030,White,2106-3,28,614476,4.6
Michigan,26,40-44 years,40-44,Lung and Bronchus,22030,Black or African American,2054-5,19,105978,17.9
Michigan,26,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,96,677748,14.2
Michigan,26,45-49 years,45-49,Larynx,22020,White,2106-3,23,649793,3.5
Michigan,26,45-49 years,45-49,Lung and Bronchus,22030,Black or African American,2054-5,54,100528,53.7
Michigan,26,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,208,649793,32
Michigan,26,50-54 years,50-54,Larynx,22020,White,2106-3,37,571524,6.5
Michigan,26,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,68,86990,78.2
Michigan,26,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,336,571524,58.8
Michigan,26,55-59 years,55-59,Larynx,22020,White,2106-3,53,462920,11.4
Michigan,26,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,121,62322,194.2
Michigan,26,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,553,462920,119.5
Michigan,26,60-64 years ,60-64,Larynx,22020,White,2106-3,58,351335,16.5
Michigan,26,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,117,43431,269.4
Michigan,26,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,813,351335,231.4
Michigan,26,65-69 years,65-69,Larynx,22020,White,2106-3,44,285500,15.4
Michigan,26,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,146,36393,401.2
Michigan,26,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,940,285500,329.2
Michigan,26,70-74 years,70-74,Larynx,22020,Black or African American,2054-5,17,32193,52.8
Michigan,26,70-74 years,70-74,Larynx,22020,White,2106-3,54,269284,20.1
Michigan,26,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,176,32193,546.7
Michigan,26,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,1153,269284,428.2
Michigan,26,75-79 years,75-79,Larynx,22020,White,2106-3,33,234666,14.1
Michigan,26,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,151,25810,585
Michigan,26,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,1136,234666,484.1
Michigan,26,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,71,16482,430.8
Michigan,26,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,675,167618,402.7
Michigan,26,85+ years,85+,Lung and Bronchus,22030,Black or African American,2054-5,46,12260,375.2
Michigan,26,85+ years,85+,Lung and Bronchus,22030,White,2106-3,386,136204,283.4
Minnesota,27,35-39 years,35-39,Lung and Bronchus,22030,White,2106-3,18,350854,5.1
Minnesota,27,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,37,392320,9.4
Minnesota,27,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,82,360632,22.7
Minnesota,27,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,169,311647,54.2
Minnesota,27,55-59 years,55-59,Larynx,22020,White,2106-3,16,242695,6.6
Minnesota,27,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,236,242695,97.2
Minnesota,27,60-64 years ,60-64,Larynx,22020,White,2106-3,18,183746,9.8
Minnesota,27,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,361,183746,196.5
Minnesota,27,65-69 years,65-69,Larynx,22020,White,2106-3,30,148917,20.1
Minnesota,27,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,373,148917,250.5
Minnesota,27,70-74 years,70-74,Larynx,22020,White,2106-3,27,136792,19.7
Minnesota,27,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,515,136792,376.5
Minnesota,27,75-79 years,75-79,Larynx,22020,White,2106-3,19,120859,15.7
Minnesota,27,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,469,120859,388.1
Minnesota,27,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,304,92506,328.6
Minnesota,27,85+ years,85+,Lung and Bronchus,22030,White,2106-3,130,88080,147.6
Missouri,29,35-39 years,35-39,Lung and Bronchus,22030,White,2106-3,21,353106,5.9
Missouri,29,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,69,393330,17.5
Missouri,29,45-49 years,45-49,Lung and Bronchus,22030,Black or African American,2054-5,31,43968,70.5
Missouri,29,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,126,367213,34.3
Missouri,29,50-54 years,50-54,Larynx,22020,White,2106-3,28,326598,8.6
Missouri,29,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,55,36076,152.5
Missouri,29,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,240,326598,73.5
Missouri,29,55-59 years,55-59,Larynx,22020,White,2106-3,38,274757,13.8
Missouri,29,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,51,26273,194.1
Missouri,29,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,416,274757,151.4
Missouri,29,60-64 years ,60-64,Larynx,22020,White,2106-3,35,219714,15.9
Missouri,29,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,60,20183,297.3
Missouri,29,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,547,219714,249
Missouri,29,65-69 years,65-69,Larynx,22020,White,2106-3,39,185915,21
Missouri,29,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,73,17318,421.5
Missouri,29,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,756,185915,406.6
Missouri,29,70-74 years,70-74,Larynx,22020,White,2106-3,41,168821,24.3
Missouri,29,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,60,14075,426.3
Missouri,29,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,817,168821,483.9
Missouri,29,75-79 years,75-79,Larynx,22020,White,2106-3,27,145815,18.5
Missouri,29,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,59,10968,537.9
Missouri,29,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,692,145815,474.6
Missouri,29,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,39,6910,564.4
Missouri,29,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,440,104823,419.8
Missouri,29,85+ years,85+,Lung and Bronchus,22030,Black or African American,2054-5,23,6066,379.2
Missouri,29,85+ years,85+,Lung and Bronchus,22030,White,2106-3,245,92588,264.6
Montana,30,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,17,71332,23.8
Montana,30,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,23,63916,36
Montana,30,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,36,50484,71.3
Montana,30,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,88,39006,225.6
Montana,30,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,86,32190,267.2
Montana,30,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,126,29277,430.4
Montana,30,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,118,24147,488.7
Montana,30,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,66,18552,355.8
Montana,30,85+ years,85+,Lung and Bronchus,22030,White,2106-3,65,15965,407.1
Nebraska,31,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,16,125748,12.7
Nebraska,31,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,28,120675,23.2
Nebraska,31,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,52,106454,48.8
Nebraska,31,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,86,81856,105.1
Nebraska,31,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,98,63688,153.9
Nebraska,31,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,175,56020,312.4
Nebraska,31,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,203,53595,378.8
Nebraska,31,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,190,46803,406
Nebraska,31,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,129,35383,364.6
Nebraska,31,85+ years,85+,Lung and Bronchus,22030,White,2106-3,87,33887,256.7
Nevada,32,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,44,132002,33.3
Nevada,32,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,67,121759,55
Nevada,32,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,168,108504,154.8
Nevada,32,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,18,5860,307.2
Nevada,32,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,190,85366,222.6
Nevada,32,65-69 years,65-69,Larynx,22020,White,2106-3,21,68591,30.6
Nevada,32,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,268,68591,390.7
Nevada,32,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,303,57694,525.2
Nevada,32,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,236,44787,526.9
Nevada,32,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,137,27529,497.7
Nevada,32,85+ years,85+,Lung and Bronchus,22030,White,2106-3,83,17954,462.3
New Hampshire,33,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,21,112462,18.7
New Hampshire,33,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,31,102615,30.2
New Hampshire,33,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,55,89871,61.2
New Hampshire,33,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,77,71314,108
New Hampshire,33,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,90,50414,178.5
New Hampshire,33,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,146,40994,356.1
New Hampshire,33,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,154,36373,423.4
New Hampshire,33,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,147,30674,479.2
New Hampshire,33,80-84 years,80-84,Lung and Bronchus,22030,White,2106-3,81,22082,366.8
New Hampshire,33,85+ years,85+,Lung and Bronchus,22030,White,2106-3,60,18950,316.6
New Jersey,34,40-44 years,40-44,Lung and Bronchus,22030,Black or African American,2054-5,20,101019,19.8
New Jersey,34,40-44 years,40-44,Lung and Bronchus,22030,White,2106-3,99,572065,17.3
New Jersey,34,45-49 years,45-49,Larynx,22020,White,2106-3,23,520942,4.4
New Jersey,34,45-49 years,45-49,Lung and Bronchus,22030,Black or African American,2054-5,35,83762,41.8
New Jersey,34,45-49 years,45-49,Lung and Bronchus,22030,White,2106-3,165,520942,31.7
New Jersey,34,50-54 years,50-54,Larynx,22020,White,2106-3,22,457329,4.8
New Jersey,34,50-54 years,50-54,Lung and Bronchus,22030,Black or African American,2054-5,44,71928,61.2
New Jersey,34,50-54 years,50-54,Lung and Bronchus,22030,White,2106-3,273,457329,59.7
New Jersey,34,55-59 years,55-59,Larynx,22020,White,2106-3,35,389285,9
New Jersey,34,55-59 years,55-59,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,20,26392,75.8
New Jersey,34,55-59 years,55-59,Lung and Bronchus,22030,Black or African American,2054-5,67,55571,120.6
New Jersey,34,55-59 years,55-59,Lung and Bronchus,22030,White,2106-3,462,389285,118.7
New Jersey,34,60-64 years ,60-64,Larynx,22020,White,2106-3,39,285163,13.7
New Jersey,34,60-64 years ,60-64,Lung and Bronchus,22030,Black or African American,2054-5,103,44836,229.7
New Jersey,34,60-64 years ,60-64,Lung and Bronchus,22030,White,2106-3,623,285163,218.5
New Jersey,34,65-69 years,65-69,Larynx,22020,White,2106-3,48,239504,20
New Jersey,34,65-69 years,65-69,Lung and Bronchus,22030,Black or African American,2054-5,115,35027,328.3
New Jersey,34,65-69 years,65-69,Lung and Bronchus,22030,White,2106-3,706,239504,294.8
New Jersey,34,70-74 years,70-74,Larynx,22020,White,2106-3,45,237073,19
New Jersey,34,70-74 years,70-74,Lung and Bronchus,22030,Black or African American,2054-5,109,27315,399
New Jersey,34,70-74 years,70-74,Lung and Bronchus,22030,White,2106-3,908,237073,383
New Jersey,34,75-79 years,75-79,Larynx,22020,White,2106-3,36,213183,16.9
New Jersey,34,75-79 years,75-79,Lung and Bronchus,22030,Asian or Pacific Islander,A-PI,18,5714,315
New Jersey,34,75-79 years,75-79,Lung and Bronchus,22030,Black or African American,2054-5,82,19653,417.2
New Jersey,34,75-79 years,75-79,Lung and Bronchus,22030,White,2106-3,947,213183,444.2
New Jersey,34,80-84 years,80-84,Larynx,22020,White,2106-3,24,157713,15.2
New Jersey,34,80-84 years,80-84,Lung and Bronchus,22030,Black or African American,2054-5,50,11872,421.2
